person1,person2,c_assoc_desc_chn,count
苏轼,黄庭坚,书跋由Y所作,31
苏轼,周必大,书跋由Y所作,29
欧阳修,周必大,书跋由Y所作,23
苏轼,李之仪,书跋由Y所作,14
苏轼,陆游,书跋由Y所作,13
苏轼,释惠洪,书跋由Y所作,12
司马光,范镇,致书Y,10
苏轼,魏了翁,书跋由Y所作,9
苏轼,楼钥,书跋由Y所作,9
苏轼,刘克庄,书跋由Y所作,9
苏轼,袁桷,书跋由Y所作,7
苏轼,王恽,书跋由Y所作,7
苏轼,吴师道,书跋由Y所作,7
苏轼,晁说之,书跋由Y所作,7
王安石,黄庭坚,书跋由Y所作,7
欧阳修,尹洙,致书Y,6
苏辙,周必大,书跋由Y所作,6
曾巩,欧阳修,致书Y,6
欧阳修,王回,致书Y,6
王安石,李之仪,书跋由Y所作,6
欧阳修,曾巩,被致书由Y,6
司马光,汪应辰,书跋由Y所作,5
欧阳修,朱熹,书跋由Y所作,5
苏轼,朱熹,书跋由Y所作,5
欧阳修,苏洵,被致书由Y,5
欧阳修,蔡襄,致书Y,5
司马光,杨时,书跋由Y所作,4
司马光,范镇,答Y书,4
曾巩,欧阳修,被致书由Y,4
欧阳修,梅尧臣,为Y所著书作跋,4
欧阳修,吕公著,致书Y,4
欧阳修,周必大,书序由Y所作,4
欧阳修,杜衍,致书Y,4
曾巩,王安石,致书Y,4
欧阳修,曾巩,致书Y,4
司马光,朱熹,书跋由Y所作,4
欧阳修,黄庭坚,书跋由Y所作,4
司马光,周必大,书跋由Y所作,4
王安石,朱熹,书跋由Y所作,4
苏轼,晁补之,被致书由Y,4
苏轼,李之仪,为Y作画赞(画像记),4
苏轼,汪应辰,书跋由Y所作,4
苏轼,黄庭坚,字说、名述由Y所作,4
王安石,汪应辰,书跋由Y所作,3
司马光,黄庭坚,祭文由Y所作,3
欧阳修,杨大雅,为Y作墓志铭,3
苏轼,吕公著,致书Y,3
苏轼,吕大防,致书Y,3
欧阳修,吴中复,致书Y,3
苏轼,吴澄,书跋由Y所作,3
欧阳修,蔡襄,为Y所著书作跋,3
苏轼,张方平,致书Y,3
苏轼,文彦博,致书Y,3
欧阳修,丁宝臣,致书Y,3
欧阳修,赵允让,为Y作祭文,3
司马光,王安石,致书Y,3
王安石,曾巩,被致书由Y,3
欧阳修,韩琦,致书Y,3
苏轼,李纲,书跋由Y所作,3
王安石,司马光,被致书由Y,3
欧阳修,富弼,致书Y,3
司马光,张守,书跋由Y所作,3
苏轼,王柏,书跋由Y所作,3
苏轼,程巨夫,书跋由Y所作,3
苏轼,章惇,致书Y,3
欧阳修,刘敞,致书Y,3
王安石,周必大,书跋由Y所作,3
苏轼,释惟简,为Y作佛寺记,3
司马光,范祖禹,祭文由Y所作,3
欧阳修,晏殊,致书Y,3
苏轼,韩元吉,书跋由Y所作,3
苏轼,韩琦,致书Y,3
曾巩,杜衍,致书Y,3
欧阳修,欧阳守道,书跋由Y所作,3
欧阳修,楼钥,书跋由Y所作,3
苏轼,袁燮,书跋由Y所作,3
曾巩,吕南公,被致书由Y,2
欧阳修,赵槩,致书Y,2
司马光,皮公弼,弹劾,2
欧阳修,韩宗彦,答Y书,2
欧阳修,吕公著,推荐,2
欧阳修,焦千之,致书Y,2
欧阳修,石延年,为Y所著书作序,2
曾巩,王益,为Y作墓志铭,2
王安石,吴孝宗,答Y书,2
司马光,吴蒨,为Y作墓志铭,2
曾巩,王逵,为Y作墓志铭,2
曾巩,王逵,为Y作祭文,2
欧阳修,陈力,致书Y,2
欧阳修,杜氏(赵弘殷妻),为Y作祝词,2
欧阳修,杜衍,为Y作墓志铭,2
欧阳修,薛仲孺,致书Y,2
司马光,夏倚,致书Y,2
曾巩,章佑,为Y作墓志铭,2
欧阳修,狄青,上奏论Y,2
欧阳修,苏轼,书跋由Y所作,2
欧阳修,谢绛,为Y作墓志铭,2
欧阳修,吕溱,答Y书,2
司马光,孙甫,为Y所著书作跋,2
欧阳修,赵顼,答Y书,2
欧阳修,吴充,答Y书,2
司马光,苏轼,祭文由Y所作,2
欧阳修,吴充,致书Y,2
欧阳修,谢绛,致书Y,2
欧阳修,杨万里,祠记由Y所作,2
欧阳修,徐无党,答Y书,2
欧阳修,徐无党,致书Y,2
王安石,周彦先,为Y作墓志铭,2
欧阳修,吴奎,答Y书,2
欧阳修,吴奎,致书Y,2
曾巩,张大亨,学生为Y,2
欧阳修,吴师道,书跋由Y所作,2
欧阳修,连庠,答Y书,2
王安石,吕惠卿,答Y书,2
司马光,范祖禹,致书Y,2
欧阳修,苏辙,墓志铭由Y所作,2
欧阳修,连庶,答Y书,2
司马光,范纯仁,致书Y,2
欧阳修,王圣纪,为Y作临别赠言(送别诗、序),2
欧阳修,文彦博,答Y书,2
司马光,庞籍,致书Y,2
欧阳修,程琳,致书Y,2
欧阳修,文彦博,致Y启,2
欧阳修,苏颂,致书Y,2
王安石,吴师道,书跋由Y所作,2
司马光,张存,为Y作祭文,2
欧阳修,夏守赟,为Y作谥议,2
司马光,张栻,书跋由Y所作,2
欧阳修,韩琦,被致书由Y,2
欧阳修,姚辟,致书Y,2
欧阳修,孔嗣宗,答Y书,2
欧阳修,范仲淹,致书Y,2
司马光,袁说友,书跋由Y所作,2
欧阳修,梁师孟,致书Y,2
欧阳修,孙侔,答Y书,2
欧阳修,王安石,致书Y,2
司马光,张舜民,推荐,2
司马光,赵丙,为Y所著书作序,2
欧阳修,梅尧臣,为Y作墓志铭,2
王安石,吕嘉问,为Y作祭文,2
欧阳修,米光濬,推荐,2
欧阳修,孙沔,致书Y,2
司马光,赵氏(李遵勗妻),为Y作祭文,2
曾巩,曾氏,为Y作墓志铭,2
欧阳修,钱惟演,致Y启,2
欧阳修,安吉,推荐,2
欧阳修,曾公亮,致书Y,2
欧阳修,裴煜,答Y书,2
欧阳修,王拱辰,致书Y,2
欧阳修,胡宿,为Y作祭文,2
曾巩,朱延之,为Y作墓志铭,2
欧阳修,胡寅,为Y作字说、名述,2
欧阳修,宋敏求,致书Y,2
欧阳修,陈舜俞,被致书由Y,2
司马光,曾肇,祭文由Y所作,2
曾巩,李迂,为Y作墓志铭,2
欧阳修,尹洙,收到Y的答书,2
欧阳修,欧阳守道,祠记由Y所作,2
王安石,征集,为Y作墓表,2
欧阳修,许元,为Y之建筑物题咏、记、命名,2
欧阳修,余靖,为Y作神道碑,2
欧阳修,陆游,书跋由Y所作,2
欧阳修,颜复,致书Y,2
欧阳修,欧阳发,致书Y,2
欧阳修,王益柔,致书Y,2
司马光,陆游,书跋由Y所作,2
欧阳修,胥偃,致Y启,2
欧阳修,王素,致书Y,2
欧阳修,丘濬,答Y书,2
王安石,曾公亮,致书Y,2
司马光,韩维,答Y书,2
王安石,曾易占,为Y作墓志铭,2
王安石,曾致尧,为Y作墓志铭,2
欧阳修,赵恒,为Y作祝词,2
欧阳修,冯京,致书Y,2
王安石,李余庆,为Y作墓志铭,2
王安石,李复圭,致书Y,2
王安石,杜杞,为Y作祭文,2
王安石,杜杞,致书Y,2
王安石,杜醇,致书Y,2
王安石,束向,为Y作祭文,2
王安石,杨翱,为Y作墓志铭,2
王安石,欧阳修,被致书由Y,2
欧阳修,常秩,致书Y,2
王安石,沈季长,致书Y,2
王安石,王令,被致书由Y,2
王安石,王师锡,为Y作墓志铭,2
王安石,王逢,为Y作墓志铭,2
王安石,王雱,为Y所著书作序,2
王安石,田况,为Y作墓志铭,2
王安石,赵匡胤,为Y作祝词,2
王安石,赵曙,为Y作祝词,2
王安石,陆佃,祭文由Y所作,2
王安石,陆游,书跋由Y所作,2
王安石,高若讷,为Y作祭文,2
王安石,魏了翁,书跋由Y所作,2
欧阳修,刁约,致书Y,2
王安石,龚原,答Y书,2
欧阳修,欧阳观,为Y作墓表,2
苏轼,刘恕,致书Y,2
苏轼,司马光,为Y作祭文,2
欧阳修,欧阳观,为Y作祭文,2
司马光,魏了翁,书跋由Y所作,2
苏轼,吴复古,为Y之建筑物题咏、记、命名,2
司马光,楚楷,赠诗、文,2
欧阳修,李宗谔,为Y所著书作跋,2
曾巩,沈氏(朱延之妻),为Y作墓志铭,2
苏轼,庄公岳,致书Y,2
苏轼,张大亨,致书Y,2
欧阳修,刘克庄,书跋由Y所作,2
苏轼,张耒,书跋由Y所作,2
苏轼,张耒,答Y书,2
苏轼,戴表元,书跋由Y所作,2
苏轼,文同,为Y之建筑物题咏、记、命名,2
苏轼,文同,为Y作画赞(画像记),2
欧阳修,陆经,为Y作临别赠言(送别诗、序),2
苏轼,晁补之,书跋由Y所作,2
欧阳修,王陶,为Y作临别赠言(送别诗、序),2
司马光,毕仲游,被致书由Y,2
苏轼,朱寿昌,致书Y,2
欧阳修,李宽,致书Y,2
王安石,孙甫,致书Y,2
欧阳修,王陶,致书Y,2
苏轼,李之仪,答Y书,2
苏轼,李廌,答Y书,2
苏轼,李廌,致书Y,2
苏轼,李弥逊,书跋由Y所作,2
苏轼,李昭玘,建筑物得到Y的题咏、记、命名,2
欧阳修,王鼎,致书Y,2
苏轼,林希,致书Y,2
苏轼,林希逸,书跋由Y所作,2
欧阳修,刘湜,致书Y,2
苏轼,欧阳修,为Y作祭文,2
苏轼,欧阳修,为Y所著书作跋,2
苏轼,毕仲游,被致书由Y,2
苏轼,江存之,为Y作字说、名述,2
欧阳修,陆经,答Y书,2
苏轼,牟𪩘,书跋由Y所作,2
苏轼,率子廉,为Y作传,2
苏轼,王巩,为Y作斋、堂铭,2
苏轼,王巩,致书Y,2
苏轼,王庠,致书Y,2
苏轼,王彭,为Y作哀辞,2
欧阳修,田瑜,致Y启,2
欧阳修,刘黄中,致书Y,2
苏轼,王沇之,为Y作哀辞,2
苏轼,王闰之,为Y作画赞(画像记),2
苏轼,秦观,被致书由Y,2
欧阳修,田画,为Y作临别赠言(送别诗、序),2
欧阳修,苏洵,致书Y,2
苏轼,章楶,致书Y,2
苏轼,章衡,致书Y,2
苏轼,胡允文,为Y作祭文,2
苏轼,苏辙,祭文由Y所作,2
苏轼,范百禄,致书Y,2
苏轼,范祖禹,致书Y,2
苏轼,蒲宗孟,致书Y,2
苏轼,薛氏(欧阳修妻),为Y作祭文,2
苏轼,虞集,书跋由Y所作,2
欧阳修,石介,致书Y,2
欧阳修,张氏(杨大雅妻),为Y作墓志铭,2
苏轼,袁说友,书跋由Y所作,2
苏轼,谢举廉,致书Y,2
苏轼,赵令畤,致书Y,2
苏轼,赵宗儒,为Y作祭文,2
苏轼,释了元,致书Y,2
欧阳修,沈邈,致书Y,2
司马光,王慎言,同会,2
苏轼,释惠洪,画赞(画像记)由Y所作,2
苏轼,释法言,致书Y,2
苏轼,释继连,为Y作佛寺记,2
苏轼,钱世雄,致书Y,2
司马光,王柏,书跋由Y所作,2
欧阳修,李端愿,致书Y,2
苏轼,韩琦,为Y作祭文,2
司马光,王逵,弹劾,2
苏轼,韩绛,致书Y,2
司马光,吕公著,致书Y,2
苏轼,黄庭坚,为Y作砚铭,2
曾巩,刘弇,被致书由Y,2
欧阳修,蔡襄,被致书由Y,2
苏轼,黄庭坚,画赞(画像记)由Y所作,2
苏轼,黄庭坚,被致书由Y,2
曾巩,王寅亮,为Y作哀辞,2
苏辙,张方平,为Y作祭文,2
苏辙,文务光,为Y作祭文,2
苏辙,朱熹,书跋由Y所作,2
苏辙,李宗易,为Y所著书作序,2
苏辙,欧阳修,为Y作墓志铭,2
苏辙,毛维瞻,为Y之建筑物题咏、记、命名,2
苏辙,苏洵,为Y作祭文,2
苏辙,苏轼,为Y作祭文,2
司马光,张耒,答Y书,1
司马光,张茂则,上奏论Y,1
司马光,张行婆,为Y作传,1
司马光,张锡,为Y之建筑物题咏、记、命名,1
司马光,张问,为Y所著书作序,1
司马光,徐中行,欣赏/器重,1
司马光,徐九思,与Y结党,1
司马光,戴表元,学记（书院记）由Y所作,1
司马光,文同,友,1
司马光,文同,致书Y,1
司马光,文同,赠诗、文,1
司马光,文彦博,为Y之建筑物题咏、记、命名,1
司马光,文彦博,为Y作世系碑记,1
司马光,文彦博,为Y所著书作序,1
司马光,文彦博,同会,1
司马光,文彦博,致书Y,1
司马光,文洎,赠诗、文,1
司马光,晁补之,祭文由Y所作,1
司马光,晁说之,书跋由Y所作,1
司马光,晁说之,节行为Y所称道,1
司马光,晁说之,被Y欣赏/器重,1
司马光,朱光庭,推荐,1
司马光,朱熹,书序由Y所作,1
司马光,李周,推荐,1
司马光,李子仪,与Y游,1
司马光,李子仪,为Y作临别赠言(送别诗、序),1
司马光,李孝基,答Y书,1
司马光,李定,上奏论Y,1
司马光,李寿朋,推荐,1
司马光,李师中,得到Y的支持,1
司马光,李师中,被Y推荐,1
司马光,李柬之,为Y作临别赠言(送别诗、序),1
司马光,李植,友,1
司马光,李植,是Y的恩主,1
司马光,李汉臣,为Y作墓志铭,1
司马光,李清臣,与Y旅游,1
司马光,李相,为Y作临别赠言(送别诗、序),1
司马光,李相,收到Y的赠诗、文,1
司马光,李穆,为Y作谥议,1
司马光,李纲,书跋由Y所作,1
司马光,李绚,为Y作墓志铭,1
司马光,李绚,同年友,1
司马光,李陶,学生为Y,1
司马光,李𫄧,致书Y,1
司马光,李𫘦,从游者为Y,1
司马光,杜陟,为Y作墓志铭,1
司马光,杨氏(韩渎妻),为Y作墓志铭,1
司马光,林之奇,书跋由Y所作,1
司马光,林修,其学为Y所宗,1
司马光,林修,著述为Y所采,1
司马光,林希,遭到Y的反对/攻讦,1
司马光,林自,其政策被Y反对/不支持,1
司马光,林自,遭到Y的反对/攻讦,1
司马光,柳贯,书跋由Y所作,1
司马光,梅挚,答Y启,1
司马光,楚建中,为Y所著书作序,1
司马光,楚建中,同会,1
司马光,楼钥,书序由Y所作,1
司马光,楼钥,书跋由Y所作,1
司马光,樊资深,学生为Y,1
司马光,欧阳中立,门人为Y,1
司马光,欧阳修,被Y推荐,1
司马光,欧阳修,被致书由Y,1
司马光,江休复,为Y作祭文,1
司马光,牛师德,教授Y,1
司马光,王公彦,得到Y的支持,1
司马光,王公彦,被Y欣赏/器重,1
司马光,王十朋,画赞(画像记)由Y所作,1
司马光,王大临,推荐,1
司马光,王安石,不合,1
司马光,王安石,收到Y的答书,1
司马光,王寔,学生为Y,1
司马光,王寔,该学派的成员为Y,1
司马光,王尚恭,为Y作哀辞,1
司马光,王尚恭,为Y所著书作序,1
司马光,王尚恭,同会,1
司马光,王广渊,上奏论Y,1
司马光,王惟德,为Y作墓志铭,1
司马光,王慎言,为Y所著书作序,1
司马光,王拱辰,为Y所著书作序,1
司马光,王珪,弹劾,1
司马光,王陶,致书Y,1
司马光,田述古,合撰(编)著作,1
司马光,田锡,为Y作碑阴,1
司马光,田锡,碑阴为Y所作,1
司马光,皮公弼,反对/攻讦,1
司马光,石扬休,为Y作哀辞,1
司马光,祖无择,同会,1
司马光,程俱,书跋由Y所作,1
司马光,程巨夫,书序由Y所作,1
司马光,程戡,上奏论Y,1
司马光,程氏(苏洵妻),为Y作墓志铭,1
司马光,程珌,书跋由Y所作,1
司马光,程颐,推荐,1
司马光,程颢,答Y书,1
司马光,罗从彦,书跋由Y所作,1
司马光,罗从彦,传记作者为Y,1
司马光,罗士友,以文章、学问受知于,1
司马光,罗愿,传记作者为Y,1
司马光,胡三省,其学术作品由Y编辑,1
司马光,胡宏,书跋由Y所作,1
司马光,胡宗愈,为Y作临别赠言(送别诗、序),1
司马光,胡宗愈,答Y书,1
司马光,胡次和,其学术作品由Y编辑,1
司马光,苏洵,为Y作墓志铭,1
司马光,苏轼,下属为Y,1
司马光,苏轼,墓志铭由Y所作,1
司马光,苏轼,神道碑由Y所作,1
司马光,苏轼,行状由Y所作,1
司马光,苏轼,被致书由Y,1
司马光,苏辙,书序由Y所作,1
司马光,苏辙,学生为Y,1
司马光,苏辙,祭文由Y所作,1
司马光,范仲淹,为Y作祭文,1
司马光,范冲,诗/文由Y编辑,1
司马光,范祖禹,书序由Y所作,1
司马光,范祖禹,合撰(编)著作,1
司马光,范祖禹,建筑物得到Y的题咏、记、命名,1
司马光,范祖禹,推荐,1
司马光,范祖禹,祝词由Y所作,1
司马光,范祖禹,答Y书,1
司马光,范纯仁,书序由Y所作,1
司马光,范纯仁,祭文由Y所作,1
司马光,范纯仁,被致书由Y,1
司马光,范纯礼,是Y的恩主,1
司马光,范镇,为Y作传,1
司马光,范镇,友,1
司马光,范镇,同年友,1
司马光,范镇,同道,1
司马光,范镇,墓志铭由Y所作,1
司马光,范镇,收到Y的答书,1
司马光,范镇,相唱和,1
司马光,范镇,被致书由Y,1
司马光,董邻几,为Y作祭文,1
司马光,蒲宗孟,其政策被Y反对/不支持,1
司马光,蔡京,得到Y的支持,1
司马光,薛仪,为Y作墓志铭,1
司马光,薛田,为Y所著书作序,1
司马光,袁枢,被Y欣赏/器重,1
司马光,许奉世,答Y书,1
司马光,许将,遭到Y的反对/攻讦,1
司马光,许翰,书跋由Y所作,1
司马光,赵丙,为Y所著书作跋,1
司马光,赵令超,为Y作墓志铭,1
司马光,赵令邦,为Y作墓志铭,1
司马光,赵仲连,为Y作墓志铭,1
司马光,赵佶,被Y陷害,1
司马光,赵士虬,为Y作墓志铭,1
司马光,赵屼,答Y书,1
司马光,赵稹,为Y作谥议,1
司马光,赵粹中,得到Y的支持,1
司马光,邢居实,学生为Y,1
司马光,邢恕,是Y的恩主,1
司马光,邢恕,赠诗、文,1
司马光,邢恕,门客为Y,1
司马光,邵材,得到Y的支持,1
司马光,邵雍,与Y游,1
司马光,邵雍,从Y游,1
司马光,邵雍,祭文由Y所作,1
司马光,郑夬,推荐,1
司马光,郑扬庭,推荐,1
司马光,郝戭,为Y作临别赠言(送别诗、序),1
司马光,郭劝,为Y作祭文,1
司马光,释自觉,称道Y之文章、学问,1
司马光,释若讷,赠诗、文,1
司马光,钱公辅,为Y作祭文,1
司马光,钱公辅,致书Y,1
司马光,钱若水,为Y作谥议,1
司马光,闻人安道,友,1
司马光,陈充,答Y书,1
司马光,陈尧佐,为Y作祠记,1
司马光,陈尧叟,为Y作祠记,1
司马光,陈尧咨,为Y作祠记,1
司马光,陈敏,受Y之弟子礼,1
司马光,陈敏,遭到Y的反对/攻讦,1
司马光,陈洙,为Y乞某事,1
司马光,陈洙,得到Y的支持,1
司马光,陈省华,为Y作祠记,1
司马光,陈荐,为Y作祭文,1
司马光,陈襄,被Y推荐,1
司马光,陈述古,上奏论Y,1
司马光,韩元吉,书跋由Y所作,1
司马光,韩渎,为Y作墓志铭,1
司马光,韩琦,为Y作祠记,1
司马光,韩琦,被致书由Y,1
司马光,韩维,被致书由Y,1
司马光,颜太初,为Y所著书作序,1
司马光,马中庸,答Y书,1
司马光,马天骥,得到Y的支持,1
司马光,高居简,遭到Y的反对/攻讦,1
司马光,高氏(赵曙妻),得到Y的支持,1
司马光,高氏(赵曙妻),是Y的恩主,1
司马光,魏闲,为Y作墓志铭,1
司马光,魏闲,致书Y,1
司马光,鲜于侁,同会,1
司马光,黄中庸,推荐,1
司马光,黄履,被Y弹劾,1
司马光,黄溍,书跋由Y所作,1
司马光,黄灏,其学为Y所宗,1
司马光,黄隐,其学为Y所私淑,1
曾巩,丁宝臣,为Y作祭文,1
曾巩,丁宝臣,为Y所著书作序,1
曾巩,丁琰,为Y作临别赠言(送别诗、序),1
曾巩,傅向老,为Y作临别赠言(送别诗、序),1
曾巩,傅权,答Y书,1
曾巩,傅楫,欣赏/器重,1
曾巩,傅氏(关鲁妻),为Y作墓志铭,1
曾巩,元氏(沈播妻),为Y作墓志铭,1
曾巩,元积中,为Y之建筑物题咏、记、命名,1
曾巩,关景仁,为Y作墓志铭,1
曾巩,关景晖,为Y作墓志铭,1
曾巩,关鲁,为Y作墓志铭,1
曾巩,关鲁,为Y作祭文,1
曾巩,刘伯声,学生为Y,1
曾巩,刘希声,为Y作临别赠言(送别诗、序),1
曾巩,刘希声,学生为Y,1
曾巩,刘涣,为Y作墓志铭,1
曾巩,刘震,为Y作墓志铭,1
曾巩,吴业,为Y作墓志铭,1
曾巩,吴则礼,书跋由Y所作,1
曾巩,吴太初,为Y作哀辞,1
曾巩,吴师道,祠记由Y所作,1
曾巩,吴氏(曾易占妻),为Y作祝词,1
曾巩,吴氏(王益妻),为Y作墓志铭,1
曾巩,吴祥,为Y作墓志铭,1
曾巩,周中复,为Y作临别赠言(送别诗、序),1
曾巩,周中复,献文、书于Y,1
曾巩,周必大,书跋由Y所作,1
曾巩,周旻,为Y作墓志铭,1
曾巩,周氏(曾易占妻),为Y作祝词,1
曾巩,周氏(陈枢母),为Y作墓志铭,1
曾巩,周琬,为Y作墓志铭,1
曾巩,夏希道,为Y之建筑物题咏、记、命名,1
曾巩,孔延之,为Y作墓志铭,1
曾巩,孔延之,为Y作祭文,1
曾巩,孔延之,友,1
曾巩,孔武仲,祭文由Y所作,1
曾巩,孙侔,与Y游,1
曾巩,孙侔,从Y游,1
曾巩,孙抗,致书Y,1
曾巩,孙永,为Y之建筑物题咏、记、命名,1
曾巩,孙甫,为Y作行状,1
曾巩,孙立节,友,1
曾巩,孙适,为Y作墓志铭,1
曾巩,宋敏求,为Y作祭文,1
曾巩,宋敏求,代Y作文,1
曾巩,尹洙,为Y之建筑物题咏、记、命名,1
曾巩,张保雍,为Y作墓志铭,1
曾巩,张保雍,为Y作神道碑,1
曾巩,张如纶,为Y之建筑物题咏、记、命名,1
曾巩,张峋,为Y之建筑物题咏、记、命名,1
曾巩,张彦博,为Y所著书作序,1
曾巩,张持,为Y作墓志铭,1
曾巩,张持,收到Y所献诗、文、书,1
曾巩,张文淑,学生为Y,1
